ts,open,high,low,close,volume
2023-01-09,1290.0,1344.61,1284.63,1320.43,196757.728677
2023-01-10,1320.4,1347.18,1317.0,1335.37,106713.474595
2023-01-11,1335.38,1405.0,1321.0,1389.66,140048.876683
2023-01-12,1389.52,1438.98,1356.25,1415.77,309380.132472
2023-01-13,1415.76,1464.88,1400.73,1450.99,118822.956701
2023-01-14,1451.0,1640.68,1449.38,1549.66,332284.811278
2023-01-15,1549.43,1567.3,1516.11,1552.32,99280.310148
2023-01-16,1552.52,1607.29,1521.24,1576.44,141801.182577
2023-01-17,1576.64,1609.7,1538.64,1565.19,122910.052973
2023-01-18,1565.35,1609.37,1497.92,1511.26,232270.152087
2023-01-19,1511.28,1564.57,1509.48,1551.18,95223.62799
2023-01-20,1551.19,1674.34,1541.92,1658.24,160495.197943
2023-01-21,1658.24,1680.0,1612.33,1626.75,172813.739668
2023-01-22,1626.99,1664.71,1602.97,1627.45,119135.816316
2023-01-23,1627.5,1648.44,1583.85,1626.25,115288.650226
2023-01-24,1626.41,1641.58,1525.52,1556.06,153279.228988
2023-01-25,1555.96,1640.02,1512.8,1611.28,197075.385781
2023-01-26,1611.7,1632.96,1576.71,1600.99,133933.838392
2023-01-27,1601.03,1621.59,1552.19,1597.43,119652.690201
2023-01-28,1597.39,1606.37,1555.19,1572.34,57542.622486
2023-01-29,1572.33,1662.41,1566.41,1644.72,144095.33098
2023-01-30,1644.69,1647.37,1530.01,1566.02,174345.944876
2023-01-31,1566.1,1606.0,1561.77,1585.23,89904.098091
2023-02-01,1585.24,1648.0,1555.0,1641.59,129460.737007
2023-02-02,1641.75,1717.77,1626.0,1642.92,187459.80992
2023-02-03,1643.34,1676.06,1625.77,1663.51,136445.17056
2023-02-04,1663.51,1695.0,1645.3,1666.5,78418.756244
2023-02-05,1666.49,1673.96,1608.45,1629.21,122398.259513
2023-02-06,1629.21,1658.65,1604.8,1614.59,93939.049935
2023-02-07,1614.37,1678.28,1613.17,1670.62,117589.995272
2023-02-08,1670.61,1697.99,1630.89,1650.46,108804.230823
2023-02-09,1650.44,1656.03,1520.49,1545.33,208940.712253
2023-02-10,1545.34,1554.86,1486.24,1513.18,163812.080195
2023-02-11,1513.19,1544.27,1504.55,1538.93,59413.47243
2023-02-12,1538.67,1548.0,1493.0,1515.21,65689.569423
2023-02-13,1515.2,1526.44,1461.0,1505.4,180867.246437
2023-02-14,1505.56,1568.82,1478.0,1555.61,192354.489592
2023-02-15,1555.61,1683.18,1542.17,1674.91,207777.855213
2023-02-16,1674.91,1742.47,1633.93,1637.83,208941.445578
2023-02-17,1637.95,1722.02,1630.95,1693.67,135270.977235
2023-02-18,1693.68,1714.05,1679.02,1691.55,52409.133053
2023-02-19,1691.55,1727.0,1666.26,1680.13,83453.83445
2023-02-20,1680.28,1719.54,1650.66,1703.43,85637.773803
2023-02-21,1703.39,1716.55,1635.01,1659.2,102589.389005
2023-02-22,1659.52,1667.13,1593.71,1643.2,133173.170205
2023-02-23,1643.06,1678.63,1628.78,1650.33,102809.078653
2023-02-24,1650.29,1664.34,1573.7,1607.73,142787.72062
2023-02-25,1607.73,1609.0,1557.04,1594.73,68791.420004
2023-02-26,1594.6,1652.0,1587.95,1641.47,59366.577517
2023-02-27,1641.26,1665.07,1607.48,1633.59,88938.353238
2023-02-28,1633.47,1649.51,1596.8,1605.37,68043.415292
2023-03-01,1605.5,1671.28,1593.45,1664.96,97848.794194
2023-03-02,1664.96,1677.85,1618.3,1647.98,97777.122521
2023-03-03,1647.99,1649.08,1520.01,1569.29,209525.939541
2023-03-04,1569.3,1577.33,1549.38,1566.81,46971.063485
2023-03-05,1566.82,1588.93,1553.22,1564.49,57413.97433
2023-03-06,1564.67,1583.36,1554.68,1565.79,57882.03687
2023-03-07,1565.78,1584.21,1532.56,1562.57,103809.802541
2023-03-08,1561.97,1570.64,1520.97,1532.66,90062.377907
2023-03-09,1532.56,1546.39,1406.3,1437.53,182737.146158
2023-03-10,1437.41,1438.33,1368.0,1426.56,327888.890138
2023-03-11,1426.56,1477.77,1407.83,1471.67,398008.975014
2023-03-12,1471.67,1595.0,1448.71,1579.71,221044.776206
2023-03-13,1579.71,1698.0,1565.18,1674.26,319361.926914
2023-03-14,1673.94,1778.39,1655.86,1699.4,318853.873992
2023-03-15,1699.38,1717.0,1610.9,1650.05,230952.612925
2023-03-16,1650.06,1692.67,1632.12,1673.54,143294.192345
2023-03-17,1673.55,1800.0,1662.51,1789.66,185672.64779
2023-03-18,1789.65,1843.14,1746.46,1758.8,171907.933732
2023-03-19,1758.81,1841.0,1758.12,1781.08,125835.530382
2023-03-20,1781.12,1803.29,1723.33,1732.52,158033.011443
2023-03-21,1732.5,1835.58,1717.59,1801.53,146644.739882
2023-03-22,1801.28,1819.5,1710.59,1734.31,192948.473076
2023-03-23,1734.4,1857.92,1729.27,1813.59,199306.877832
2023-03-24,1813.63,1818.65,1720.0,1749.9,207853.392653
2023-03-25,1749.93,1763.37,1713.6,1742.25,63668.801194
2023-03-26,1741.99,1802.0,1739.38,1774.09,112820.718837
2023-03-27,1773.83,1780.39,1686.28,1715.08,141879.011719
2023-03-28,1715.41,1795.92,1701.35,1772.61,107215.394714
2023-03-29,1773.01,1827.5,1772.4,1793.18,118301.42557
2023-03-30,1792.96,1829.78,1762.9,1793.53,157626.216015
2023-03-31,1793.49,1846.75,1780.0,1821.71,127462.760745
2023-04-01,1821.68,1842.84,1808.05,1820.78,52845.065303
2023-04-02,1820.77,1824.99,1772.02,1794.57,62989.785821
2023-04-03,1794.57,1840.0,1763.05,1810.29,121068.123492
2023-04-04,1810.14,1892.27,1802.17,1870.34,182272.019041
2023-04-05,1870.42,1945.94,1864.54,1908.48,145570.148103
2023-04-06,1908.48,1909.68,1854.17,1872.6,84788.324087
2023-04-07,1872.6,1882.69,1840.38,1864.01,67287.896536
2023-04-08,1864.02,1880.18,1847.08,1848.85,52382.415501
2023-04-09,1848.85,1873.32,1822.5,1858.74,85217.375515
2023-04-10,1858.77,1919.0,1846.84,1910.12,93290.720196
2023-04-11,1910.13,1937.64,1881.41,1889.87,84420.569427
2023-04-12,1889.91,1932.44,1851.27,1917.6,143483.96182
2023-04-13,1917.61,2023.0,1899.75,2011.69,165770.2687
2023-04-14,2011.81,2157.51,2008.78,2099.25,235340.189082
2023-04-15,2099.39,2111.54,2069.05,2090.64,60642.657669
2023-04-16,2090.65,2144.67,2072.33,2118.81,71996.821266
2023-04-17,2118.72,2120.24,2056.68,2074.61,91564.566915
2023-04-18,2074.62,2124.66,2050.52,2103.64,78517.551246
2023-04-19,2103.85,2104.58,1917.94,1934.18,278380.509776
2023-04-20,1934.14,1983.49,1913.0,1942.65,150287.199233
2023-04-21,1942.66,1956.79,1823.99,1848.93,214548.257429
2023-04-22,1848.94,1887.75,1841.42,1873.94,79997.478095
2023-04-23,1873.95,1882.68,1836.64,1861.98,59757.061396
2023-04-24,1861.98,1889.99,1805.45,1842.09,136234.214323
2023-04-25,1842.23,1877.0,1800.18,1866.19,104701.930012
2023-04-26,1866.19,1965.0,1783.28,1865.93,339363.307442
2023-04-27,1866.22,1939.88,1860.94,1908.4,192699.969469
2023-04-28,1908.41,1923.62,1875.0,1890.91,68084.578138
2023-04-29,1890.91,1917.66,1883.0,1907.81,36937.551741
2023-04-30,1907.8,1939.42,1865.51,1869.67,67590.983679
2023-05-01,1869.93,1886.5,1806.5,1830.43,147129.639955
2023-05-02,1830.79,1880.0,1822.88,1869.75,118182.931668
2023-05-03,1869.76,1916.58,1842.78,1905.0,89840.433127
2023-05-04,1905.0,1918.43,1866.66,1877.36,55954.733806
2023-05-05,1877.36,2014.34,1875.95,1993.19,149062.087407
2023-05-06,1993.18,2019.0,1852.08,1896.16,184163.996383
2023-05-07,1896.18,1933.2,1866.34,1869.99,124111.296796
2023-05-08,1870.0,1883.83,1810.76,1847.28,167366.645833
2023-05-09,1847.28,1861.83,1830.73,1846.73,64680.425094
2023-05-10,1846.77,1887.56,1786.01,1841.1,229568.804871
2023-05-11,1841.1,1841.7,1770.11,1794.38,126335.480772
2023-05-12,1794.45,1816.76,1737.06,1807.37,137857.026357
2023-05-13,1807.37,1816.62,1785.26,1795.2,48672.561207
2023-05-14,1795.22,1824.27,1790.01,1799.15,61608.105472
