ts,open,high,low,close,volume,funding
2023-01-19,20.817,21.861,20.436,21.395,10411577.0,0.0001
2023-01-20,21.391,25.921,20.944,25.523,14844992.0,0.0001
2023-01-21,25.525,26.649,24.223,24.549,17310871.0,0.0001
2023-01-22,24.548,25.481,23.485,24.205,10219430.0,0.0001
2023-01-23,24.204,24.923,23.68,24.331,9112531.0,0.0001
2023-01-24,24.329,25.29,22.221,22.78,9210814.0,0.0001
2023-01-25,22.78,25.451,22.183,24.5,13566067.0,0.0001
2023-01-26,24.514,25.274,23.638,24.363,8863071.0,0.0001
2023-01-27,24.363,24.981,23.249,24.428,6329067.0,0.0001
2023-01-28,24.428,25.292,23.698,24.013,5008463.0,0.0001
2023-01-29,24.006,26.888,23.717,26.09,8709018.0,0.0001
2023-01-30,26.095,26.319,22.978,23.967,11645248.0,0.0001
2023-01-31,23.966,24.498,23.482,23.923,4866348.0,0.0001
2023-02-01,23.923,25.235,22.456,25.009,7811760.0,0.0001
2023-02-02,25.007,26.186,24.03,24.324,7082240.0,0.0001
2023-02-03,24.323,25.095,24.0,24.676,4597149.0,0.0001
2023-02-04,24.687,24.945,24.158,24.334,2146970.0,0.0001
2023-02-05,24.331,24.464,22.995,23.477,4213272.0,0.0001
2023-02-06,23.476,23.728,22.49,22.653,4335919.0,0.0001
2023-02-07,22.65,23.953,22.534,23.818,4123054.0,0.0001
2023-02-08,23.822,24.247,22.778,23.218,3936854.0,0.0001
2023-02-09,23.217,23.355,19.98,20.49,7616286.0,0.0001
2023-02-10,20.493,21.176,19.667,20.101,6088302.0,0.0001
2023-02-11,20.098,20.906,20.092,20.797,2220825.0,0.0001
2023-02-12,20.799,22.545,20.618,21.51,4691273.0,0.0001
2023-02-13,21.497,21.613,19.734,20.763,6832945.0,0.0001
2023-02-14,20.763,22.39,20.67,21.843,6938152.0,0.0001
2023-02-15,21.844,24.0,21.45,23.877,4973636.0,0.0001
2023-02-16,23.878,24.163,22.195,22.252,4919907.0,0.0001
2023-02-17,22.249,23.56,22.0,23.151,3419534.0,0.0001
2023-02-18,23.153,23.946,22.926,23.456,2346792.0,0.0001
2023-02-19,23.455,25.687,23.202,24.828,7118054.0,0.0001
2023-02-20,24.83,27.125,24.1,26.277,11952844.0,0.0001
2023-02-21,26.274,26.636,24.459,24.98,7476618.0,0.0001
2023-02-22,24.979,25.25,23.196,24.147,8144395.0,0.0001
2023-02-23,24.158,24.695,23.592,23.926,5606502.0,0.0001
2023-02-24,23.928,24.127,22.449,23.078,5482347.0,0.0001
2023-02-25,23.069,23.34,21.41,22.37,5046304.0,0.0001
2023-02-26,22.366,23.549,22.216,23.258,2827640.0,0.0001
2023-02-27,23.252,23.411,22.316,22.672,3564255.0,0.0001
2023-02-28,22.676,22.752,21.745,21.894,2687582.0,0.0001
2023-03-01,21.895,22.92,21.653,22.515,2396700.0,0.0001
2023-03-02,22.515,22.66,21.657,21.995,2366915.0,0.0001
2023-03-03,21.994,22.009,20.301,21.42,3559577.0,0.0001
2023-03-04,21.419,21.627,20.2,20.988,1749184.0,0.0001
2023-03-05,20.992,21.719,20.835,20.968,2904819.0,0.0001
2023-03-06,20.967,21.177,20.456,20.625,2684904.0,0.0001
2023-03-07,20.623,20.964,19.692,20.247,3396867.0,0.0001
2023-03-08,20.25,20.395,18.101,18.426,6229154.0,0.0001
2023-03-09,18.422,18.779,16.669,17.326,9082834.0,0.0001
2023-03-10,17.324,18.354,15.993,18.169,13189441.0,0.0001
2023-03-11,18.172,18.885,16.963,18.12,9168678.0,0.0001
2023-03-12,18.117,20.614,17.772,20.237,6942229.0,0.0001
2023-03-13,20.233,21.427,18.877,20.396,8857201.0,0.0001
2023-03-14,20.395,22.139,19.765,20.861,8876728.0,0.0001
2023-03-15,20.86,21.47,18.693,19.247,7047885.0,0.0001
2023-03-16,19.246,19.929,18.889,19.682,4000998.0,0.0001
2023-03-17,19.68,21.709,19.414,21.602,3832173.0,0.0001
2023-03-18,21.61,22.981,21.061,21.213,5677408.0,0.0001
2023-03-19,21.21,22.445,21.203,21.863,3003065.0,0.0001
2023-03-20,21.867,23.92,21.361,22.145,8803996.0,0.0001
2023-03-21,22.14,23.362,21.531,22.536,5494434.0,0.0001
2023-03-22,22.532,23.1,20.932,21.414,6110594.0,0.0001
2023-03-23,21.413,22.756,21.091,22.177,3513199.0,0.0001
2023-03-24,22.176,22.269,20.276,20.66,3596182.0,0.0001
2023-03-25,20.661,20.975,20.08,20.408,1862140.0,0.0001
2023-03-26,20.408,21.14,20.286,20.95,1423295.0,0.0001
